,segment_id,count,length,speed,emission_rate
119,1000286466,16,161.6209,41.83898305,424.2823093
120,1000286467,2,23.8558,31.01960784,505.1164216
121,1000286468,22,157.3732,37.86885246,452.817623
122,1000286469,4,39.1625,30.36170213,516.9381649
123,1000286470,14,239.7586,42.41964286,420.108817
124,1000286471,6,88.3698,45.37179487,399.7780449
125,1000286472,0,10.3873,57.34210526,378.8560855
126,1000286473,21,338.6123,41.32142857,428.0022321
127,1000286474,3,17.358,15.63636364,800.9090909
128,1000286475,4,74.7947,44.46226415,405.4274764
129,1000286476,2,24.0681,61.47826087,369.9375
130,1000286477,9,264.2609,44.02727273,408.5539773
131,1000286478,2,63.6987,52.96788991,388.2879874
132,1000286479,4,35.7664,63.53061224,365.5121173
133,1000286480,13,85.6266,43.47321429,412.5362723
134,1000286481,1,6.1458,50.16666667,392.8854167
135,1000286482,2,32.0205,50.16666667,392.8854167
136,1000286483,1,13.5094,50.16666667,392.8854167
137,1000286490,6,22.1222,50,393.125
138,1000290953,44,446.9344,91.5,356.53125
139,1000290955,12,106.747,55.16666667,383.546875
140,1000290956,15,188.1637,37.5,455.46875
141,1000290957,15,370.4718,44.25,406.953125
142,1000290958,0,12.6994,14.5,866.25
143,1000290959,14,215.4471,39.75,439.296875
144,1000290960,11,178.2126,47.75,396.359375
145,1000290961,4,55.3577,35.16666667,472.2395833
146,1000290962,12,189.0977,43.41935484,412.9233871
147,1000290963,4,27.9983,35.5,469.84375
148,1000290964,6,85.0817,35.5,469.84375
149,1000290965,0,17.2118,55.5,382.828125
150,1000290966,2,7.2588,55.5,382.828125
151,1000290967,0,7.2692,55.5,382.828125
152,1000290968,1,7.2588,55.5,382.828125
153,1000290969,0,7.2588,55.5,382.828125
154,1000290970,0,6.688,55.5,382.828125
155,1000290971,0,6.4588,55.5,382.828125
156,1000290972,0,6.4693,55.5,382.828125
157,1000290973,1,6.4588,55.5,382.828125
158,1000290974,4,25.8017,55.5,382.828125
159,1000290975,20,137.4465,28.83333333,544.4010417
160,1000290976,12,104.3112,32.62,490.54375
161,1000290977,3,22.4717,38.24193548,450.1360887
162,1000290978,1,10.2886,40.11176471,436.6966912
163,1000290979,3,11.7293,39.60126582,440.3659019
164,1000290980,30,179.8841,29.93362832,524.6301162
165,1000290981,2,23.9136,18.56862745,687.3069853
166,1000290982,8,135.5441,33.5,484.21875
167,1000290983,3,46.8593,36.82926829,460.2896341
168,1000290984,0,15.2229,36.59638554,461.9634789
169,1000290985,6,40.4735,36.59638554,461.9634789
170,1000290986,2,13.0845,36.59638554,461.9634789
171,1000290987,1,26.4415,36.59638554,461.9634789
172,1000290988,17,194.8431,24.62264151,620.0619104
173,1000290992,5,43.1286,50,393.125
174,1000324916,119,400.455,23.125,638.1835938
175,1000324917,105,343.3772,26.4,588.125
176,1000324918,37,241.8893,19.83333333,673.671875
177,1000324925,6,56.2778,50,393.125
178,1000324926,5,39.8597,19.5,677.265625
179,1000324928,7,100.8999,42.07142857,422.6116071
180,1000324956,16,156.3846,20.61111111,665.2864583
181,1000324957,2,33.2057,17.5,698.828125
182,1000324960,5,53.1829,17.5,698.828125
183,1000324963,62,195.1855,14.3,877.75
184,1000339272,7,65.9139,83.3,350
185,1000346877,4,105.3103,37.6,454.75
186,1000346878,0,16.74,35.88235294,467.0955882
187,1000356283,58,205.1571,22,650.3125
188,1000356284,2,15.4618,15.66666667,799.1666667
189,1000356285,3,22.3601,50,393.125
190,1000356286,17,125.675,33.25,486.015625
191,1000356287,2,26.6206,33.125,486.9140625
192,1000358005,8,56.2852,38.11111111,451.0763889
193,1000358006,2,28.6112,38.11111111,451.0763889
194,1000358007,2,16.5786,38.11111111,451.0763889
195,1000358008,12,49.6729,38.11111111,451.0763889
196,1000358009,38,120.5442,34.34615385,478.1370192
197,1000358010,6,45.1144,31.95918367,495.2933673
198,1000358011,27,83.9694,35.61570248,469.0121384
199,1000358012,25,81.8287,32.95081967,488.1659836
200,1000358013,33,81.5399,31.532,498.36375
201,1000358014,27,84.5278,30.03278689,522.8483607
202,1000358015,2,17.3649,28.52040816,550.0239158
203,1000358016,4,18.4745,29.14516129,538.7978831
204,1000358017,10,50.7465,27.98484848,559.6472538
205,1000358018,12,79.4441,37.09615385,458.3713942
206,1000358019,18,84.9065,37.43939394,455.9043561
207,1000358020,7,50.7576,33.015625,487.7001953
208,1000358021,3,30.0544,36.66071429,461.5011161
209,1000358022,8,218.9843,39.33076923,442.3100962
210,1000358023,1,56.9623,22.70588235,642.7022059
211,1000358024,12,169.461,1.5,1100
212,1000358025,9,61.1679,53.84210526,386.4029605
213,1000358026,14,127.5293,25.91666667,596.8098958
