wkt_geom,id,join_segment_id,join_length,distance
Point (121.03806921677846731 14.64374146052149506),,1000290953,0.0041,0.000125966
Point (121.03811477236457961 14.64375798893798475),,1000290953,0.0041,0.000173135
Point (121.03820303631262334 14.64362851630881757),,1000290953,0.0041,0.000176079
Point (121.03815463350240123 14.64358719524087071),,1000290953,0.0041,0.000112951
Point (121.0382742169158945 14.64354311942647691),,1000290953,0.0041,0.000188868
Point (121.03829699470894354 14.64345496777109901),,1000290953,0.0041,0.00015965
Point (121.03833116139851711 14.64338885400632861),,1000290953,0.0041,0.00015203
Point (121.03820873076087139 14.6433392686696493),,1000290953,0.0041,2.24E-05
Point (121.03829984193306757 14.64326764538577486),,1000290953,0.0041,5.94E-05
Point (121.03837386976046275 14.64321806002169168),,1000290953,0.0041,9.43E-05
Point (121.03844220313960989 14.64323458847763249),,1000290953,0.0041,0.000160517
Point (121.03842511979483731 14.64318224836289239),,1000290953,0.0041,0.000117608
Point (121.03845074481199617 14.64311062502773453),,1000290953,0.0041,9.99E-05
Point (121.03849914762220408 14.64319051259236382),,1000290953,0.0041,0.000184121
Point (121.03863296715638853 14.6428020934703742),,1000290953,0.0041,8.39E-05
Point (121.03868991163898272 14.64278281023363526),,1000290953,0.0041,0.000121093
Point (121.03870414775965969 14.64268639402445693),,1000290953,0.0041,8.03E-05
Point (121.03895755070729479 14.64239439038949264),,1000290953,0.0041,0.000132984
Point (121.03898887017273012 14.64227869072846921),,1000290953,0.0041,9.60E-05
Point (121.03911130081034742 14.64215197198206475),,1000290953,0.0041,0.000129278
Point (121.03909991191380868 14.64210238636571404),,1000290953,0.0041,9.26E-05
Point (121.03915400917230727 14.6419012890289153),,1000339272,0.0006,2.53E-05
Point (121.03920241198251517 14.64191230806584976),,1000339272,0.0006,7.11E-05
Point (121.03919102308600486 14.64196189372516521),,1000339272,0.0006,9.07E-05
Point (121.03921949532731617 14.64197291275906032),,1000339272,0.0006,0.000120235
Point (121.03928782870643488 14.6418269105151726),,1000339272,0.0006,9.08E-05
Point (121.03939317599929382 14.64164234150171318),,1000339272,0.0006,6.90E-05
Point (121.03936185653385849 14.64157071766360652),,1000339272,0.0006,1.85E-06
Point (121.03948143994733755 14.64138614843454356),,1000160897,0.0018,5.96E-06
Point (121.03964088449865244 14.64127871254310875),,1000160897,0.0018,6.70E-05
Point (121.03959532891256856 14.64119331474570984),,1000160897,0.0018,1.83E-05
Point (121.03972630122255794 14.6411189359918481),,1000160897,0.0018,4.94E-05
Point (121.03973769011909667 14.6410032356579336),,1000160897,0.0018,5.33E-06
Point (121.03978324570518055 14.64103629290242559),,1000160897,0.0018,5.09E-05
Point (121.03976616236040798 14.6409150829816106),,1000160897,0.0018,3.06E-05
Point (121.03980317627411978 14.64095640455305158),,1000160897,0.0018,2.31E-05
Point (121.03991991246347482 14.6407883634472924),,1000160897,0.0018,2.70E-05
Point (121.03990852356695029 14.64072224887859264),,1000160897,0.0018,1.92E-05
Point (121.03997970417022145 14.64070296545897065),,1000160897,0.0018,2.93E-05
Point (121.0400423431010779 14.64065888906488944),,1000160897,0.0018,5.70E-05
Point (121.03994553748064789 14.64060930311095454),,1000160897,0.0018,5.11E-05
Point (121.04003380142869162 14.64047156429122332),,1000160897,0.0018,5.41E-05
Point (121.04013914872153634 14.6404660547366241),,1000160897,0.0018,3.05E-05
Point (121.04009928758370052 14.6404274878506282),,1000160897,0.0018,2.41E-05
Point (121.04011637092850151 14.64034208972178952),,1000160897,0.0018,5.73E-05
Point (121.04028435715220269 14.64009691426390702),,1000160897,0.0018,5.36E-05
Point (121.0404637322724426 14.64001702557235518),,1000160897,0.0018,5.12E-05
Point (121.04046942672069065 14.63992336293142138),,1000160896,0.0018,3.75E-06
Point (121.04043241280699306 14.63986826724159585),,1000160896,0.0018,5.79E-05
Point (121.04054914899637652 14.63978837846676484),,1000160896,0.0018,6.79E-06
Point (121.04068581575462815 14.63974430188888576),,1000160896,0.0018,8.10E-05
Point (121.04062602404790994 14.63959278858489022),,1000160896,0.0018,5.39E-05
Point (121.04067157963399382 14.63954595717882157),,1000160896,0.0018,4.28E-05
Point (121.04070289909942915 14.63956248591150988),,1000160896,0.0018,7.64E-06
Point (121.04073991301312674 14.63957075027740196),,1000160896,0.0018,2.76E-05
Point (121.04081963528878418 14.63939719852858268),,1000160896,0.0018,4.77E-06
Point (121.04078262137508659 14.63937791499246366),,1000160896,0.0018,4.62E-05
Point (121.04093352425402941 14.63927323290964644),,1000160896,0.0018,1.91E-05
Point (121.04098192706425152 14.6391354932508726),,1000160896,0.0018,1.88E-05
Point (121.04097053816771279 14.63906662338905029),,1000160896,0.0018,6.71E-05
Point (121.04103602432272169 14.63894816717614233),,1000160896,0.0018,8.01E-05
Point (121.04117838552926401 14.63890960002326125),,1000160896,0.0018,1.56E-05
Point (121.04113567716730415 14.63878838892716772),,1000160896,0.0018,8.82E-05
Point (121.04125241335665919 14.63860657215743899),,1000160896,0.0018,9.47E-05
Point (121.04143748292517557 14.63841373602487117),,1000160896,0.0018,5.10E-05
Point (121.041497274631908 14.63838894279551894),,1000160895,0.0014,1.32E-05
Point (121.04162539971777335 14.63803632767486462),,1000160895,0.0014,8.86E-05
Point (121.04178199704497843 14.6378903228105326),,1000160895,0.0014,3.16E-05
Point (121.04178199704497843 14.63783798142040204),,1000160895,0.0014,5.90E-05
Point (121.04199269163063946 14.63761484166977667),,1000160895,0.0014,3.75E-06
Point (121.04199838607890172 14.63753495207424749),,1000160895,0.0014,3.32E-05
Point (121.04198130273412914 14.63749087504357149),,1000160895,0.0014,7.08E-05
Point (121.0420610250098008 14.63736139871474506),,1000160895,0.0014,7.07E-05
Point (121.04213505283718177 14.63733936018307702),,1000160895,0.0014,1.91E-05
Point (121.04222901123350198 14.63722365785550217),,1000160894,0.003,8.47E-08
Point (121.04220623344046714 14.63720161931000696),,1000160894,0.003,3.10E-05
Point (121.04221192788872941 14.63711897474463974),,1000160894,0.003,7.04E-05
Point (121.04232581685396042 14.63694817587757413),,1000160894,0.003,6.57E-05
Point (121.04234574742285702 14.63698674337531713),,1000160894,0.003,2.82E-05
Point (121.04238276133655461 14.63697847891207537),,1000160894,0.003,1.39E-06
Point (121.04245678916397821 14.63679941546566177),,1000160894,0.003,3.48E-05
Point (121.04236283076765801 14.63707489763039149),,1000160894,0.003,3.34E-05
Point (121.0425592892326847 14.63672503522187718),,1000160894,0.003,1.19E-05
Point (121.04259060869813425 14.63662861634979961),,1000160894,0.003,1.33E-05
Point (121.04256783090509941 14.63659280361509296),,1000160894,0.003,5.17E-05
Point (121.04265324762901912 14.63649638468491254),,1000160894,0.003,3.12E-05
Point (121.042681719870302 14.63662586152425682),,1000160894,0.003,6.22E-05
Point (121.04275290047357316 14.63648261054857791),,1000160894,0.003,4.56E-05
Point (121.04289241445600567 14.63625120492871368),,1000160894,0.003,3.95E-05
Point (121.04274151157706285 14.63636966259794647),,1000160894,0.003,2.45E-05
Point (121.04276998381837416 14.63627599839965931),,1000160894,0.003,5.06E-05
Point (121.04282408107684432 14.63616580517400045),,1000160894,0.003,6.40E-05
Point (121.04296359505927683 14.63613274719551427),,1000160894,0.003,3.61E-05
Point (121.04286963666295662 14.63619335348560391),,1000160894,0.003,1.07E-05
Point (121.04292373392142679 14.63610519887630446),,1000160894,0.003,1.23E-05
Point (121.04297783117992537 14.63600602489850289),,1000160894,0.003,1.97E-05
Point (121.04301484509362297 14.63603632806315247),,1000160894,0.003,2.78E-05
Point (121.04302623399013328 14.63609142471540103),,1000160894,0.003,6.69E-05
Point (121.04301484509362297 14.63593990888839969),,1000160894,0.003,2.39E-05
Point (121.04310595626581915 14.63585175417727235),,1000160894,0.003,5.86E-06
Point (121.04325970636887178 14.63563412208249304),,1000160894,0.003,1.91E-05
Point (121.04333658142039098 14.63552392853445383),,1000160894,0.003,2.50E-05
Point (121.04375369975552701 14.63484348214933739),,1000160894,0.003,1.28E-05
Point (121.04383911647943251 14.63478287548637269),,1000160894,0.003,5.25E-05
Point (121.04389606096205512 14.63454044866711534),,1000160893,0.0005,2.21E-05
Point (121.04397008878946451 14.63444402883499329),,1000160893,0.0005,7.16E-06
Point (121.04395015822053949 14.63462033935305229),,1000160893,0.0005,6.51E-05
Point (121.04405835273752245 14.63447708706792483),,1000160893,0.0005,8.57E-05
Point (121.0440241860479631 14.63441648030375397),,1000160893,0.0005,2.55E-05
Point (121.044089672202972 14.63430904099885943),,1000219322,0.0051,2.64E-05
Point (121.04414946390969021 14.63433934439786555),,1000219322,0.0051,9.30E-05
Point (121.04419217227165007 14.63415201422784051),,1000219322,0.0051,2.58E-05
Point (121.04426335287492122 14.63412997537379212),,1000219322,0.0051,7.32E-05
Point (121.04434307515060709 14.63395366446172652),,1000219322,0.0051,4.30E-05
Point (121.04431745013344823 14.63392887072835968),,1000219322,0.0051,8.02E-06
Point (121.04440286685735373 14.63389581241283643),,1000219322,0.0051,6.13E-05
Point (121.04440286685735373 14.63383796034870343),,1000219322,0.0051,2.95E-05
Point (121.04448828358130186 14.63371123672631668),,1000219322,0.0051,3.13E-05
Point (121.04446835301237684 14.63367266865280314),,1000219322,0.0051,6.52E-06
Point (121.04449967247781217 14.63359828734904156),,1000219322,0.0051,2.12E-05
Point (121.04455092251215831 14.63351013169711834),,1000219322,0.0051,2.67E-05
Point (121.04462210311542947 14.63351839629097917),,1000219322,0.0051,3.73E-05
Point (121.04476161709783355 14.63337238842006904),,1000219322,0.0051,7.37E-05
Point (121.04462779756367752 14.63341922114396887),,1000219322,0.0051,1.24E-05
Point (121.04465057535674077 14.63335310435438785),,1000219322,0.0051,2.97E-05
Point (121.04469897816694868 14.63328974241234626),,1000219322,0.0051,2.40E-05
Point (121.04478724211502083 14.63316852821137104),,1000219322,0.0051,1.68E-05
Point (121.04482710325284245 14.63311067595548742),,1000219322,0.0051,1.52E-05
Point (121.04489543663196116 14.63308037238679304),,1000219322,0.0051,2.53E-05
Point (121.04495807556287446 14.63304180420240641),,1000219322,0.0051,5.64E-05
Point (121.04494383944219749 14.63298670678438107),,1000219322,0.0051,1.43E-05
Point (121.04499793670066765 14.63286273754322586),,1000219322,0.0051,8.56E-06
Point (121.04508904787286383 14.63277458159581634),,1000219322,0.0051,3.41E-05
Point (121.04516022847613499 14.63266438661173119),,1000219322,0.0051,5.11E-05
Point (121.04523425630353017 14.63254592694214651),,1000219322,0.0051,6.72E-05
Point (121.04536522861353376 14.63211065597911364),,1000219322,0.0051,1.00E-06
Point (121.04530258968267731 14.63228421349191244),,1000219322,0.0051,1.68E-05
Point (121.04530828413093957 14.63244399647757454),,1000219322,0.0051,9.04E-05
Point (121.04549193008737973 14.63184205479588051),,1000219322,0.0051,1.66E-06
Point (121.04578234694871242 14.63139025308970531),,1000219322,0.0051,6.71E-05
Point (121.04575102748326287 14.6313379101489911),,1000219322,0.0051,1.63E-05
Point (121.0457709580522021 14.63122771444353099),,1000219322,0.0051,1.29E-05
Point (121.04581366641414775 14.63112853826131143),,1000219322,0.0051,1.68E-05
Point (121.04595887484481409 14.63096324452467911),,1000219322,0.0051,4.35E-05
Point (121.04593609705179347 14.63087508781424262),,1000219322,0.0051,1.49E-05
Point (121.04598734708613961 14.63083100944574788),,1000219322,0.0051,1.26E-05
Point (121.04603574989634751 14.63078417616952542),,1000219322,0.0051,3.64E-05
Point (121.04600727765506463 14.63070703898688585),,1000219322,0.0051,2.20E-05
Point (121.04606137491353479 14.63067398018603349),,1000219322,0.0051,1.31E-05
Point (121.04611262494786672 14.63055000963848507),,1000219322,0.0051,7.12E-06
Point (121.04607845825833579 14.63052797042269404),,1000219322,0.0051,3.32E-05
Point (121.04614394441331626 14.63043154882761598),,1000219322,0.0051,1.46E-05
Point (121.04623790280963647 14.63026349966065176),,1000219322,0.0051,4.12E-07
Point (121.04636318067140621 14.62996596967244223),,1000219322,0.0051,1.26E-05
Point (121.0464001945851038 14.62981169470496923),,1000219322,0.0051,4.42E-05
Point (121.04619234722355259 14.63051144100940526),,1000219322,0.0051,6.31E-05
Point (121.04621227779244919 14.63045909785910403),,1000219322,0.0051,5.90E-05
Point (121.04623505558551244 14.63039848998526438),,1000219322,0.0051,5.41E-05
Point (121.04630338896464536 14.63028002909261716),,1000219322,0.0051,6.59E-05
Point (121.04636033344728219 14.63014228378821713),,1000219322,0.0051,5.93E-05
Point (121.04645713906772642 14.62993015585038137),,1000219322,0.0051,5.74E-05
Point (121.04651123632619658 14.62980893979384334),,1000324928,0.0009,5.54E-05
Point (121.04659950027426873 14.62943427155953202),,1000324928,0.0009,2.01E-05
Point (121.04664505586032419 14.62949212478451599),,1000324928,0.0009,4.54E-05
Point (121.04672477813603848 14.62920285850707991),,1000324928,0.0009,2.38E-06
Point (121.04684436154951754 14.6290816420489147),,1000324928,0.0009,5.60E-05
Point (121.04688422268735337 14.62904307316181551),,1000324928,0.0009,7.62E-05
Point (121.04688422268735337 14.62899623950409378),,1000356287,0.0002,5.66E-05
Point (121.04679880596343367 14.6290540928445445),,1000324928,0.0009,3.09E-06
Point (121.04687568101496709 14.62887777785466348),,1000356287,0.0002,2.63E-06
Point (121.04702373666975745 14.62866289376928286),,1000356286,0.0011,4.09E-05
Point (121.04707213947999378 14.62848933339290269),,1000356286,0.0011,1.42E-05
Point (121.04716325065216154 14.62839566583117978),,1000356286,0.0011,5.91E-05
Point (121.04714616730737475 14.62832954752824044),,1000356286,0.0011,1.66E-05
Point (121.04711769506607766 14.62828546864855461),,1000356286,0.0011,2.74E-05
Point (121.04714332008326494 14.62817802634224762),,1000356286,0.0011,4.79E-05
Point (121.04719457011761108 14.62809262344587147),,1000356286,0.0011,3.60E-05
Point (121.047262903496744 14.62812017277091314),,1000356286,0.0011,3.76E-05
Point (121.04725720904849595 14.62806231918433753),,1000356286,0.0011,8.83E-06
Point (121.04725151460020527 14.62799344584709793),,1000356286,0.0011,2.45E-05
Point (121.04735116744481616 14.62797140637462334),,1000356286,0.0011,5.75E-05
Point (121.04731130630696612 14.62794385703091748),,1000356286,0.0011,9.86E-06
Point (121.04729422296216512 14.62789977807377895),,1000356286,0.0011,2.37E-05
Point (121.04735970911717402 14.6278584540434391),,1000356286,0.0011,1.92E-05
Point (121.04729707018631757 14.62782814974957724),,1000356286,0.0011,5.04E-05
Point (121.04737963968609904 14.627734481905728),,1000356286,0.0011,1.32E-05
Point (121.04742804249634958 14.62776203127570263),,1000356286,0.0011,4.22E-05
Point (121.04744227861698391 14.62766285352758366),,1000356285,0.0002,1.37E-05
Point (121.0475163064443791 14.62758571524805973),,1000356285,0.0002,4.83E-05
Point (121.04751061199613105 14.6275499010376393),,1000356285,0.0002,2.81E-05
Point (121.04748213975481974 14.62751959670118396),,1000356284,0.0001,1.05E-05
Point (121.04754477868567619 14.62743970343046129),,1000356284,0.0001,1.26E-05
Point (121.04755047313395266 14.62737358483960648),,1000356283,0.0019,1.06E-05
Point (121.04755901480633895 14.62729644645844296),,1000356283,0.0019,3.63E-05
Point (121.04759887594417478 14.62727165197302881),,1000356283,0.0019,1.11E-05
Point (121.0476472787544111 14.62719451355603972),,1000356283,0.0019,9.64E-07
Point (121.04762165373722382 14.62716971905911123),,1000356283,0.0019,3.48E-05
Point (121.04768429266808027 14.62722757288091913),,1000356283,0.0019,4.67E-05
Point (121.04771561213352982 14.62724410254150165),,1000356283,0.0019,8.21E-05
Point (121.04777255661615243 14.62710911027704341),,1000356283,0.0019,7.49E-05
Point (121.04774123715070289 14.62709533555152852),,1000356283,0.0019,4.07E-05
Point (121.0476871398922043 14.62705676631543383),,1000356283,0.0019,2.48E-05
Point (121.04778109828853871 14.62704850147826008),,1000356283,0.0019,5.63E-05
Point (121.04776116771962791 14.62701268718019776),,1000356283,0.0019,2.28E-05
Point (121.04773838992657886 14.62697687287629478),,1000356283,0.0019,1.32E-05
Point (121.04773554270245484 14.62692728383047758),,1000356283,0.0019,3.73E-05
Point (121.04777540384027645 14.62693830361939895),,1000356283,0.0019,3.41E-06
Point (121.04781526497811228 14.62693279372500221),,1000356283,0.0019,3.69E-05
Point (121.04776970939201419 14.62689697940807143),,1000356283,0.0019,1.96E-05
Point (121.04780387608155934 14.62687769477344091),,1000356283,0.0019,2.78E-06
Point (121.0478551261159339 14.62683637055070207),,1000356283,0.0019,3.10E-05
Point (121.04782950109874662 14.62681984085943476),,1000356283,0.0019,7.92E-07
Point (121.04780957052985002 14.6268060661157655),,1000356283,0.0019,2.31E-05
Point (121.04778109828853871 14.62679780126912554),,1000356283,0.0019,5.24E-05
Point (121.04784943166767164 14.62672066268565452),,1000356283,0.0019,2.54E-05
Point (121.0478351955470373 14.62668760328444151),,1000356283,0.0019,5.29E-05
Point (121.04787220946073489 14.62662974932032256),,1000356283,0.0019,4.56E-05
Point (121.04790922337443249 14.62670964288579256),,1000356283,0.0019,2.32E-05
Point (121.04796616785702668 14.62659944485686125),,1000356283,0.0019,2.49E-05
Point (121.04794054283986782 14.6265305710606679),,1000356283,0.0019,2.88E-05
Point (121.04793769561574379 14.62657189534097313),,1000356283,0.0019,1.29E-05
Point (121.04791491782268054 14.62651128639387466),,1000356283,0.0019,6.03E-05
Point (121.04795477896051636 14.62641761798817264),,1000356283,0.0019,6.65E-05
Point (121.04800033454660024 14.62646445219601787),,1000356283,0.0019,4.79E-06
Point (121.04803165401203557 14.62640384321924891),,1000356283,0.0019,3.83E-06
Point (121.04801741789140124 14.62636251890731565),,1000356283,0.0019,3.50E-05
Point (121.0480060289948625 14.62632119458760904),,1000356283,0.0019,6.37E-05
Point (121.04806582070160914 14.62631843963268174),,1000356283,0.0019,1.14E-05
Point (121.04810283461530673 14.62630741981264215),,1000356283,0.0019,1.68E-05
Point (121.04805443180509883 14.62627436034920514),,1000356283,0.0019,4.13E-05
Point (121.04808575127053416 14.62624956574834734),,1000356283,0.0019,2.43E-05
Point (121.04806297347748512 14.62619722158180835),,1000356283,0.0019,6.81E-05
Point (121.04810283461530673 14.62617518192899624),,1000356283,0.0019,4.22E-05
Point (121.04812276518423175 14.62619171166881316),,1000356283,0.0019,1.70E-05
Point (121.04815977909791513 14.62612834765944925),,1000356283,0.0019,1.22E-05
Point (121.04814554297723816 14.6260842683377934),,1000356283,0.0019,4.46E-05
Point (121.04811707073595528 14.62607049354796729),,1000356283,0.0019,7.62E-05
Point (121.04821387635641372 14.62602916917328777),,1000356283,0.0019,8.08E-06
Point (121.04819109856335047 14.62599886462691678),,1000356283,0.0019,4.20E-05
Point (121.04815977909791513 14.62599059974990823),,1000356283,0.0019,7.37E-05
Point (121.04820533468399901 14.62594376544098651),,1000356283,0.0019,5.39E-05
Point (121.04827082083900791 14.6259575402387636),,1000356283,0.0019,1.09E-05
Point (121.04826512639074565 14.62591621584282464),,1000356283,0.0019,1.27E-05
Point (121.04825373749423534 14.62587489143911235),,1000356283,0.0019,4.13E-05
Point (121.04821957080466177 14.62586387159679724),,1000356283,0.0019,7.68E-05
Point (121.04829644585619519 14.62582805710549572),,1000356283,0.0019,2.40E-05
Point (121.04833630699401681 14.62575642810535115),,1000356283,0.0019,2.03E-05
Point (121.04831352920096776 14.62574265329495304),,1000356283,0.0019,4.68E-05
Point (121.04828790418378048 14.62573989833276222),,1000356283,0.0019,7.10E-05
Point (121.04837047368359038 14.62577571283845046),,1000356283,0.0019,1.89E-05
Point (121.04841602926967425 14.62566826930386377),,1000324963,0.0018,1.50E-05
Point (121.04836762645946635 14.62562418988984447),,1000324963,0.0018,4.71E-05
Point (121.04831352920096776 14.62567653419300839),,1000324963,0.0018,7.52E-05
Point (121.04835054311466536 14.62557735550275773),,1000324963,0.0018,8.18E-05
Point (121.04837901535597666 14.62551399131608321),,1000324963,0.0018,8.17E-05
Point (121.04844165428683311 14.62551950124607636),,1000324963,0.0018,2.23E-05
Point (121.04847297375229687 14.62554980585862907),,1000324963,0.0018,1.87E-05
Point (121.04851283489010427 14.62542583241724614),,1000324963,0.0018,4.49E-06
Point (121.04847012652814442 14.62543685228153301),,1000324963,0.0018,3.00E-05
Point (121.04843880706273751 14.62542307745108516),,1000324963,0.0018,6.42E-05
Point (121.04845304318337185 14.6253514483188205),,1000324963,0.0018,8.04E-05
Point (121.04848151542468315 14.62533216354845678),,1000324963,0.0018,6.23E-05
Point (121.04850429321774641 14.62536797812065714),,1000324963,0.0018,2.69E-05
Point (121.04850144599359396 14.62528808406695902),,1000324963,0.0018,6.21E-05
Point (121.04856977937272688 14.62533491851576173),,1000324963,0.0018,1.94E-05
Point (121.04853276545902929 14.62523298470265054),,1000324963,0.0018,5.60E-05
Point (121.04858116826926562 14.6251971701084269),,1000324963,0.0018,2.64E-05
Point (121.04860109883817643 14.62522196482812298),,1000324963,0.0018,1.88E-06
Point (121.04856693214860286 14.62515860053889583),,1000324963,0.0018,5.52E-05
Point (121.04865519609664659 14.62522196482812298),,1000324963,0.0018,5.13E-05
Point (121.04853561268315332 14.62546991187108603),,1000324963,0.0018,4.33E-05
Point (121.04843595983857085 14.62572061359650633),,1000324963,0.0018,5.46E-05
Point (121.0486067932864529 14.62508421634993816),,1000324963,0.0018,4.91E-05
Point (121.04859540438991417 14.62504840173145304),,1000324963,0.0018,7.41E-05
Point (121.04861248773471516 14.62512278593254678),,1000324963,0.0018,2.82E-05
Point (121.04865804332079904 14.62508697132034641),,1000324963,0.0018,1.22E-06
Point (121.04870644613100694 14.62508697132034641),,1000324963,0.0018,4.30E-05
Point (121.04870075168275889 14.62502085202094015),,1000324963,0.0018,1.08E-05
Point (121.04867797388972406 14.62500156722153122),,1000324963,0.0018,1.79E-05
Point (121.04863241830364018 14.62497126253333235),,1000324963,0.0018,7.18E-05
Point (121.0487576961653815 14.62498228242043119),,1000324963,0.0018,4.70E-05
Point (121.0487292239240702 14.62493820286870694),,1000324963,0.0018,3.06E-06
Point (121.04868366833798632 14.62492718297938232),,1000324963,0.0018,4.30E-05
Point (121.04870644613100694 14.62486106363187233),,1000324963,0.0018,4.93E-05
Point (121.04876054338950553 14.62487483849758618),,1000324963,0.0018,5.65E-06
Point (121.04878332118254036 14.62489412330811511),,1000324963,0.0018,3.44E-05
Point (121.04882887676865266 14.6248114741081725),,1000324963,0.0018,4.16E-05
Point (121.0487947100790791 14.6248114741081725),,1000324963,0.0018,1.05E-05
Point (121.04881748787212814 14.62474810970047479),,1000324963,0.0018,4.96E-06
Point (121.04885450178581152 14.62474810970047479),,1000324963,0.0018,3.87E-05
Point (121.0487776267342781 14.62470954005205392),,1000324963,0.0018,4.73E-05
Point (121.04873776559645648 14.62479494426444049),,1000324963,0.0018,4.82E-05
Point (121.04888582125124685 14.62467648034801293),,1000324963,0.0018,3.75E-05
Point (121.04886873790644586 14.62464342063899991),,1000324963,0.0018,8.22E-06
Point (121.04884026566516297 14.62464342063899991),,1000324963,0.0018,1.77E-05
Point (121.04882033509623795 14.62461862585397476),,1000324963,0.0018,4.61E-05
Point (121.04889151569950911 14.62458281115953795),,1000324963,0.0018,3.84E-06
Point (121.04893137683733073 14.62459934101923587),,1000324963,0.0018,4.70E-05
Point (121.048843112889287 14.62455250641354354),,1000324963,0.0018,5.28E-05
Point (121.04889151569950911 14.62451944668586457),,1000324963,0.0018,2.24E-05
Point (121.04896269630278027 14.62448638695319936),,1000324963,0.0018,2.87E-05
Point (121.04898832131995334 14.62451393673077149),,1000324963,0.0018,6.34E-05
Point (121.04890290459601943 14.62441751249417798),,1000324963,0.0018,5.43E-05
Point (121.04895700185451801 14.62437343282906177),,1000324963,0.0018,2.33E-05
Point (121.04899686299233963 14.62437067784969535),,1000324963,0.0018,1.18E-05
Point (121.04894846018213173 14.62430455833460918),,1000324963,0.0018,5.96E-05
Point (121.04902533523366515 14.62429904837411954),,1000324963,0.0018,8.04E-06
Point (121.04901679356127886 14.62422190891275164),,1000324963,0.0018,3.17E-05
Point (121.04907658526799707 14.6242880284527228),,1000324963,0.0018,5.01E-05
Point (121.04910221028518436 14.62415027938862977),,1000324963,0.0018,1.64E-05
Point (121.04905096025082401 14.624128239530366),,1000324963,0.0018,3.94E-05
Point (121.04902818245778917 14.62412272956544967),,1000324963,0.0018,6.24E-05
Point (121.04915915476780697 14.62410068970441301),,1000256011,0.0024,5.38E-05
Point (121.04914207142300597 14.62401528522198291),,1000256011,0.0024,1.47E-05
Point (121.04909936306106033 14.62400977525424395),,1000256011,0.0024,2.79E-05
Point (121.04911929362998535 14.62394641061519351),,1000256011,0.0024,2.54E-05
Point (121.04921040480215311 14.62399049036602072),,1000256011,0.0024,7.41E-05
Point (121.0492474187158507 14.62390508584075555),,1000256011,0.0024,8.73E-05
Point (121.04918762700911827 14.62382519125477209),,1000256011,0.0024,5.42E-06
Point (121.04925311316414138 14.62380039637734619),,1000256011,0.0024,5.48E-05
Point (121.04920186312979524 14.62377009152336527),,1000256011,0.0024,4.40E-06
Point (121.04929012707783897 14.62367917693631725),,1000256011,0.0024,3.84E-05
Point (121.04925026594000315 14.62365989201907546),,1000256011,0.0024,5.88E-06
Point (121.04929012707783897 14.6235799973438958),,1000256011,0.0024,2.61E-06
Point (121.04932714099153657 14.62359101730081257),,1000256011,0.0024,3.56E-05
Point (121.04936700212935818 14.62357173237582231),,1000256011,0.0024,6.40E-05
Point (121.04935276600869543 14.62353316252077917),,1000256011,0.0024,3.51E-05
Point (121.04940401604305578 14.62348908267814807),,1000256011,0.0024,6.35E-05
Point (121.04944102995675337 14.62351387759071208),,1000256011,0.0024,0.000107462
Point (121.04937839102588271 14.62348081770666575),,1000256011,0.0024,3.68E-05
Point (121.04942964106021464 14.6233899029998522),,1000256011,0.0024,4.58E-05
Point (121.04946665497394065 14.62340367795785312),,1000256011,0.0024,8.52E-05
Point (121.04942109938785677 14.62335684309712924),,1000256011,0.0024,2.44E-05
Point (121.04938123825000673 14.62337612804098619),,1000256011,0.0024,3.93E-06
Point (121.04945811330152594 14.62329347826967663),,1000256011,0.0024,3.19E-05
Point (121.04948658554285146 14.62330449824098189),,1000256011,0.0024,6.24E-05
Point (121.04942679383611903 14.62329898825540475),,1000256011,0.0024,5.67E-06
Point (121.04948943276697548 14.62324939837892934),,1000256011,0.0024,4.22E-05
Point (121.04952359945654905 14.62318327852620925),,1000256011,0.0024,4.60E-05
Point (121.04948373831871322 14.62315848357631687),,1000256011,0.0024,5.64E-07
Point (121.04952359945654905 14.62308960870078245),,1000256011,0.0024,7.26E-06
Point (121.04946665497391223 14.62354418248004961),,1000256011,0.0024,0.000143323
Point (121.04956346059439909 14.62297940885500402),,1000256011,0.0024,2.00E-06
Point (121.04966596066307716 14.62288573894261035),,1000256011,0.0024,5.26E-05
Point (121.05010158595506198 14.62203995292459169),,1000256011,0.0024,9.96E-05
Point (121.05039485004054711 14.62142007511001829),,1000256011,0.0024,0.00065575
Point (121.05036922502335983 14.62140905504413446),,1000256011,0.0024,0.00065108
Point (121.05035498890272549 14.62134293463733492),,1000256011,0.0024,0.000701422
Point (121.05037776669574612 14.62135946474090531),,1000256011,0.0024,0.000698013
Point (121.05043755840250697 14.62127130417417398),,1000269008,0.0039,0.000639141
Point (121.0504033917129334 14.62125477406397422),,1000269008,0.0039,0.000634393
Point (121.05048596121271487 14.62129334431917016),,1000269008,0.0039,0.000648268
Point (121.05054860014359974 14.62093243666635622),,1000269008,0.0039,0.000282721
Point (121.05061408629860864 14.62092968164382434),,1000269008,0.0039,0.000269956
Point (121.05059700295383607 14.62089111132475061),,1000269008,0.0039,0.000232759
Point (121.05062262797099493 14.62088835630170891),,1000269008,0.0039,0.000228459
Point (121.05060554462620814 14.62083876588090092),,1000269008,0.0039,0.000179795
Point (121.05066818355710723 14.6208249907620278),,1000269008,0.0039,0.000170953
Point (121.05062262797099493 14.62077540032690592),,1000269008,0.0039,0.000115506
Point (121.05079915586711081 14.62050540776153085),,1000269008,0.0039,9.57E-05
