Edge Id,Date Start,Date End,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Time Start,Time End,Average Speed KPH,Number of Observations,Standard Deviation,Standard Error,99% Upper Bound,99% Lower Bound,97% Upper Bound,97% Lower Bound,95% Upper Bound,95% Lower Bound,90% Upper Bound,90% Lower Bound
1000107768,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,31.5,2.0,1.480872194397731,1.0471347707292387,35.32065026154615,27.679349738453855,34.71349266184308,28.286507338156923,34.40250950101955,28.59749049898045,33.92863039881228,29.071369601187723
1000107769,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,10.500000000000002,2.0,0.4691574316284182,0.3317444013485185,11.71042617360132,9.289573826398684,11.51807162663367,9.481928373366333,11.419548565991702,9.580451434008301,11.269418187870608,9.730581812129396
1000107770,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,42.00000000000001,2.0,1.035646445135614,0.7323126242671344,44.671967828449894,39.32803217155012,44.24735278594429,39.75264721405573,44.02986703246581,39.970132967534205,43.698460170022415,40.3015398299776
1000107771,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,24.500000000000004,3.0,1.1186763524850232,0.6458680932432969,27.386184989411362,21.613815010588645,26.927527684892503,22.072472315107504,26.69260565087065,22.307394349129357,26.33462921807544,22.665370781924565
1000107772,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,24.500000000000004,3.0,1.1174728272818366,0.6451732376432606,27.38307989438714,21.616920105612866,26.92491603520159,22.075083964798417,26.690246741472404,22.309753258527603,26.332655436742215,22.667344563257792
1000107773,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,4.5,5.0,0.04529108136578383,0.020254787341673332,4.616850989923722,4.383149010076278,4.598281646563751,4.401718353436249,4.588770519476936,4.411229480523064,4.574277373439886,4.425722626560114
1000107774,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,3.3,5.0,0.03256694736394648,0.014564381625088383,3.3840227241989815,3.215977275801018,3.3706702757797635,3.229329724220236,3.363831216833335,3.2361687831666646,3.353409793676872,3.246590206323128
1000107775,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,12.299999999999999,5.0,0.4968221997220393,0.2221856422618914,13.58180127528286,11.018198724717138,13.378104173396824,11.221895826603173,13.273771511455196,11.326228488544801,13.114788407544143,11.485211592455855
1000107776,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,14.3,5.0,0.6254847969625089,0.2797253049801648,15.913750776163274,12.686249223836727,15.657302009408646,12.942697990591356,15.525950202046518,13.074049797953483,15.325795067018515,13.274204932981487
1000107777,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,5.5,4.0,0.06705522259822753,0.03352761129911377,5.673002474303427,5.326997525696573,5.645509833038154,5.354490166961846,5.631428236292526,5.368571763707474,5.609970565061094,5.390029434938906
1000019719,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,32.25,4.0,0.6584557170362408,0.3292278585181204,33.9488157499535,30.5511842500465,33.67884890596864,30.821151094031357,33.540573205391034,30.95942679460897,33.329867375939436,31.170132624060564
1000019720,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,17.25,4.0,0.19772503201294173,0.09886251600647086,17.76013058259339,16.73986941740661,17.679063319468085,16.820936680531915,17.637541062745367,16.862458937254633,17.574269052501226,16.925730947498774
1000019721,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,15.500000000000004,3.0,0.17750808731255,0.10248434199323633,15.957970865266383,15.042029134733625,15.885192549468236,15.11480745053177,15.847915851132601,15.152084148867406,15.791113263192585,15.208886736807422
1000019722,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,20.833333333333336,3.0,0.4789161153707013,0.27650234812852426,22.068936910989745,19.597729755676927,21.872581303687756,19.794085362978915,21.77200891945991,19.89465774720676,21.618755762541287,20.047910904125384
1000019723,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,21.499999999999996,3.0,0.3801812924461835,0.21949777153466388,22.48086773451115,20.519132265488842,22.324993404608215,20.67500659539178,22.245155333194518,20.754844666805475,22.123497319611737,20.876502680388256
1000019724,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,14.999999999999998,4.0,0.29897083744712566,0.14948541872356283,15.771344760613582,14.228655239386415,15.64876671726026,14.351233282739736,15.585982841396364,14.414017158603633,15.490312173413285,14.509687826586712
1000019725,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,24.25,4.0,0.27630003973311645,0.13815001986655823,24.96285410251144,23.53714589748856,24.849571086220863,23.650428913779137,24.791548077876907,23.708451922123093,24.70313206516231,23.79686793483769
1000019726,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,25.299999999999997,5.0,0.335614087785954,0.15009118289919499,26.165884346487758,24.434115653512237,26.028282570495517,24.571717429504478,25.957803612060466,24.642196387939528,25.850407103968962,24.749592896031032
1000087099,05/02/2016,05/08/2016,0,0,1,0,0,0,0,10:00,10:59,35.16666666666667,3.0,0.5480505735432808,0.316417146164742,36.580637146408336,33.75269618692501,36.35593641125559,33.97739692207775,36.240845790811505,34.09248754252184,36.06546960727765,34.267863726055694
